map,targets,n_targets,to_land_use,to_income,anchor_scale,beta,pmin,pmax,inside_%,peak_lps,mean_lps,calibration,drifted_%,passed,fail
LR_LM_LC_LR_LR,A,1,mixed,low,0.05,0.75,34.75520324707031,48.48495864868164,100.0,589.2491792849639,305.1585600360352,0.6974154477930015,100.0,True,
LR_LM_LC_LR_LR,A,1,mixed,low,0.05,1.0,33.38456726074219,48.48662185668945,100.0,620.5906688492105,305.88020670181163,0.6013728673278461,100.0,True,
LR_LM_LC_LR_LR,A,1,commercial,low,0.05,0.0,33.7790641784668,48.479801177978516,100.0,587.0261992061062,301.93015294333213,1.0,100.0,True,
LR_LM_LC_LR_LR,A,1,commercial,low,0.05,0.25,34.418975830078125,48.481327056884766,100.0,576.6445318300529,304.2217266587028,0.8991389695542936,100.0,True,
LR_LM_LC_LR_LR,A,1,commercial,low,0.05,0.5,34.76909637451172,48.48317337036133,100.0,585.9779253887523,306.7781623983359,0.7974603006999381,100.0,True,
LR_LM_LC_LR_LR,A,1,commercial,low,0.05,0.75,33.42356491088867,48.48495864868164,100.0,624.2557385832351,309.57342274448087,0.6974154477930015,100.0,True,
LR_LM_LC_LR_LR,A,1,commercial,low,0.05,1.0,31.483074188232422,48.48662185668945,100.0,668.0831535537378,312.56942664590105,0.6013728673278461,100.0,True,
LR_LM_LC_LR_LR,A,1,industrial,low,0.05,0.0,33.804683685302734,48.47938537597656,100.0,586.3330329410315,301.88856855639114,1.0,100.0,True,
LR_LM_LC_LR_LR,A,1,industrial,low,0.05,0.25,34.36225509643555,48.481300354003906,100.0,578.1999619340476,307.22532684602885,0.8991389695542936,100.0,True,
LR_LM_LC_LR_LR,A,1,industrial,low,0.05,0.5,34.53213882446289,48.48317337036133,100.0,587.9317296683395,315.12357655375547,0.7974603006999381,100.0,True,
LR_LM_LC_LR_LR,A,1,industrial,low,0.05,0.75,33.40568161010742,48.48495864868164,100.0,624.764530176092,326.69765327100123,0.6974154477930015,100.0,True,
LR_LM_LC_LR_LR,A,1,industrial,low,0.05,1.0,30.30466079711914,48.48662185668945,100.0,696.1209978867716,343.46837308147934,0.6013728673278461,100.0,True,
LR_LM_LC_LR_LR,B,1,mixed,low,0.05,0.0,33.23938751220703,48.47938537597656,100.0,599.0588957335225,301.30661242322174,1.0,100.0,True,
LR_LM_LC_LR_LR,B,1,mixed,low,0.05,0.25,34.17229080200195,48.481300354003906,100.0,583.3832845588009,300.408907170905,0.8991389695542936,100.0,True,
LR_LM_LC_LR_LR,B,1,mixed,low,0.05,0.5,35.0763053894043,48.48317337036133,100.0,567.3740720541828,299.5173190934242,0.7974603006999381,100.0,True,
