map,targets,n_targets,to_land_use,to_income,anchor_scale,beta,pmin,pmax,inside_%,drifted_%,front_done,peak_lps,mean_lps,calibration,mass_err,dd_err,passed,fail
LR_LR_LR_LR_LR,C,1,industrial,low,0.05,0.25,29.321884155273438,48.29623031616211,100.0,100.0,True,690.0237364187872,338.3886333917129,1.0,2.0448895554636692e-07,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,C,1,industrial,low,0.05,0.5,26.535310745239258,48.06870651245117,100.0,100.0,True,743.7175406369333,385.0894232755132,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,C,1,industrial,low,0.05,0.75,21.040769577026367,47.47018814086914,100.0,100.0,True,840.4772477001802,469.23835101128486,1.0,7.665425272307402e-08,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,C,1,industrial,low,0.05,1.0,9.64441204071045,45.821205139160156,99.75242309313106,100.0,True,1014.839781552888,620.8640956014515,1.0,0.0,1.350195031680996e-07,True,
LR_LR_LR_LR_LR,D,1,mixed,low,0.05,0.0,31.282424926757812,48.44961166381836,100.0,100.0,True,655.1838807714156,312.47182248484563,1.0,1.0994902055472267e-07,1.5172653840404434e-07,True,
LR_LR_LR_LR_LR,D,1,mixed,low,0.05,0.25,29.796457290649414,48.44192123413086,100.0,100.0,True,682.8240539581228,330.62745114131974,1.0,1.0504545144840449e-07,1.5711200160878356e-07,True,
LR_LR_LR_LR_LR,D,1,mixed,low,0.05,0.5,27.815128326416016,48.431396484375,100.0,100.0,True,718.0381261681043,353.75795704045544,1.0,0.0,1.2928185818042272e-07,True,
LR_LR_LR_LR_LR,D,1,mixed,low,0.05,0.75,25.149293899536133,48.41682434082031,100.0,100.0,True,762.9014608218072,383.2265209372593,1.0,0.0,1.448279162909771e-07,True,
LR_LR_LR_LR_LR,D,1,mixed,low,0.05,1.0,21.527135848999023,48.39641189575195,100.0,100.0,True,820.0580999936948,420.76985275744494,1.0,0.0,1.551193382817334e-07,True,
LR_LR_LR_LR_LR,D,1,commercial,low,0.05,0.0,32.05457305908203,48.4444465637207,100.0,100.0,True,640.3530980453114,311.36491159007284,1.0,1.101473188214186e-07,1.6958895445360117e-07,True,
LR_LR_LR_LR_LR,D,1,commercial,low,0.05,0.25,29.927892684936523,48.427734375,100.0,100.0,True,680.4279054774897,341.7170252400292,1.0,0.0,1.3175149611742145e-07,True,
LR_LR_LR_LR_LR,D,1,commercial,low,0.05,0.5,26.579387664794922,48.39964294433594,100.0,100.0,True,739.170830728744,386.20929733307287,1.0,9.225193764450523e-08,1.628081961653876e-07,True,
LR_LR_LR_LR_LR,D,1,commercial,low,0.05,0.75,21.184406280517578,48.35092544555664,100.0,100.0,True,825.2784724749758,451.4292124543471,1.0,8.081111246838191e-08,1.1251319723943654e-07,True,
LR_LR_LR_LR_LR,D,1,commercial,low,0.05,1.0,7.892401695251465,48.26383972167969,98.59882005899705,100.0,True,972.5385993954359,547.033170812124,1.0,0.0,1.478907028226127e-07,True,
LR_LR_LR_LR_LR,D,1,industrial,low,0.05,0.0,32.73335266113281,48.292503356933594,100.0,100.0,True,627.0292875848011,308.9560343042828,1.0,0.0,1.316986776168087e-07,True,
LR_LR_LR_LR_LR,D,1,industrial,low,0.05,0.25,29.660888671875,48.03993225097656,100.0,100.0,True,685.3073434760461,359.2675988272861,1.0,0.0,1.350276340920429e-07,True,
LR_LR_LR_LR_LR,D,1,industrial,low,0.05,0.5,23.445842742919922,47.36331558227539,100.0,100.0,True,790.3071627338621,449.92268662888256,1.0,0.0,1.3191343978348973e-07,True,
LR_LR_LR_LR_LR,D,1,industrial,low,0.05,0.75,10.100830078125,45.4755744934082,100.0,100.0,True,979.4903123142402,613.2717103023087,1.0,6.066609614663321e-08,1.4067473657080042e-07,True,
LR_LR_LR_LR_LR,D,1,industrial,low,0.05,1.0,-20.720258712768555,40.06755828857422,58.65465655288664,100.0,True,1320.3566482590095,907.6060293364319,1.0,8.456370181875172e-08,1.586270415444577e-07,False,"V3_floor,V4_band"
LR_LR_LR_LR_LR,E,1,mixed,low,0.05,0.0,32.31093215942383,48.44710159301758,100.0,100.0,True,636.4884791012415,312.8991660725857,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,E,1,mixed,low,0.05,0.25,30.59303855895996,48.4374885559082,100.0,100.0,True,668.646187426424,334.8461426650566,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,E,1,mixed,low,0.05,0.5,28.2761287689209,48.424171447753906,100.0,100.0,True,709.6231142402423,362.8068749065878,1.0,9.7451696490225e-08,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,E,1,mixed,low,0.05,0.75,25.11841583251953,48.405513763427734,100.0,100.0,True,761.8368163685855,398.42920968188434,1.0,9.010978629930833e-08,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,E,1,mixed,low,0.05,1.0,20.638628005981445,48.379539489746094,100.0,100.0,True,830.4447987089347,443.8125252503688,1.0,0.0,1.6501471996800205e-07,True,
LR_LR_LR_LR_LR,E,1,commercial,low,0.05,0.0,33.16115188598633,48.44071578979492,100.0,100.0,True,619.918805278494,311.5611045844826,1.0,1.1025512947071547e-07,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,E,1,commercial,low,0.05,0.25,30.688892364501953,48.41960906982422,100.0,100.0,True,666.8921291155659,348.2514963308501,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,E,1,commercial,low,0.05,0.5,26.722925186157227,48.383426666259766,100.0,100.0,True,735.7740462063144,402.03486415841775,1.0,8.92366074367601e-08,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,E,1,commercial,low,0.05,0.75,18.281736373901367,48.3203125,100.0,100.0,True,842.1883617357046,480.8743236788202,1.0,7.652433708926765e-08,1.3367735838556806e-07,True,
LR_LR_LR_LR_LR,E,1,commercial,low,0.05,1.0,-6.156429767608643,48.20616912841797,80.16750948166877,100.0,True,1096.887593337628,596.4427722259045,1.0,1.266097910956887e-07,1.630135517051367e-07,False,"V3_floor,V4_band"
LR_LR_LR_LR_LR,E,1,industrial,low,0.05,0.0,33.86198425292969,48.24184036254883,100.0,100.0,True,605.8664175097516,308.6491936611162,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,E,1,industrial,low,0.05,0.25,30.226848602294922,47.9015998840332,100.0,100.0,True,675.2878661133032,369.46706726987185,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,E,1,industrial,low,0.05,0.5,22.639965057373047,46.97618865966797,100.0,100.0,True,800.3911351594304,479.0531976989367,1.0,7.560685588714477e-08,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,E,1,industrial,low,0.05,0.75,5.729856967926025,44.36601257324219,95.90181205225453,100.0,True,1025.8309943279835,676.5135702807083,1.0,1.1080064865609529e-07,1.548373246015281e-07,False,V4_band
LR_LR_LR_LR_LR,A+D,2,mixed,low,0.05,0.0,31.817556381225586,48.44728469848633,100.0,100.0,True,641.8923501721085,311.2783491590053,1.0,0.0,1.5172653840404434e-07,True,
LR_LR_LR_LR_LR,A+D,2,mixed,low,0.05,0.25,30.054113388061523,48.43727493286133,100.0,100.0,True,676.6756479531132,334.19885971734425,1.0,1.0400359684581417e-07,1.5711200160878356e-07,True,
